      ('asl', 'zpX', 1, 1, '16')
      ('asl', 'a', 1, 0, '0A')
      ('asl', 'abs', 1, 2, '0E')
      ('asl', 'absX', 1, 2, '1E')
      ('asl', 'ippI', 2, 1, '9B13')
      ('asl', 'zpI', 2, 1, '9B06')
      ('asl', 'zpXI', 2, 1, '9B16')
      ('asl', 'absI', 2, 2, '9B0E')
      ('asl', 'absXI', 2, 2, '9B1E')
      ('asl.w', 'ipp', 2, 1, 'AB13')
      ('asl.w', 'zp', 2, 1, 'AB06')
      ('asl.w', 'zpX', 2, 1, 'AB16')
      ('asl.w', 'a', 2, 0, 'AB0A')
      ('asl.w', 'abs', 2, 2, 'AB0E')
      ('asl.w', 'absX', 2, 2, 'AB1E')
      ('asl.w', 'ippI', 2, 1, 'BB13')
      ('asl.w', 'zpI', 2, 1, 'BB06')
      ('asl.w', 'zpXI', 2, 1, 'BB16')
      ('asl.w', 'accI', 2, 0, 'BB0A')
      ('asl.w', 'absI', 2, 2, 'BB0E')
      ('asl.w', 'absXI', 2, 2, 'BB1E')
      ('asl', 'zpS', 2, 1, '8B16')
      ('asl', 'absS', 2, 2, '8B1E')
      ('asl.w', 'zpS', 2, 1, 'CB16')
      ('asl.w', 'absS', 2, 2, 'CB1E')
      ('asl.w', 'zpSI', 2, 1, 'DB16')
      ('asl.w', 'absSI', 2, 2, 'DB1E')
      ('asl', 'zpSI', 3, 1, '8B9B16')
      ('asl', 'absSI', 3, 2, '8B9B1E')
rol   ('rol', 'ipp', 1, 1, '33')
      ('rol', 'zp', 1, 1, '26')
      ('rol', 'zpX', 1, 1, '36')
      ('rol', 'a', 1, 0, '2A')
      ('rol', 'abs', 1, 2, '2E')
      ('rol', 'absX', 1, 2, '3E')
      ('rol', 'ippI', 2, 1, '9B33')
      ('rol', 'zpI', 2, 1, '9B26')
      ('rol', 'zpXI', 2, 1, '9B36')
      ('rol', 'absI', 2, 2, '9B2E')
      ('rol', 'absXI', 2, 2, '9B3E')
      ('rol.w', 'ipp', 2, 1, 'AB33')
      ('rol.w', 'zp', 2, 1, 'AB26')
      ('rol.w', 'zpX', 2, 1, 'AB36')
      ('rol.w', 'a', 2, 0, 'AB2A')
      ('rol.w', 'abs', 2, 2, 'AB2E')
      ('rol.w', 'absX', 2, 2, 'AB3E')
      ('rol.w', 'ippI', 2, 1, 'BB33')
      ('rol.w', 'zpI', 2, 1, 'BB26')
      ('rol.w', 'zpXI', 2, 1, 'BB36')
      ('rol.w', 'accI', 2, 0, 'BB2A')
      ('rol.w', 'absI', 2, 2, 'BB2E')
      ('rol.w', 'absXI', 2, 2, 'BB3E')
      ('rol', 'zpS', 2, 1, '8B36')
      ('rol', 'absS', 2, 2, '8B3E')
      ('rol.w', 'zpS', 2, 1, 'CB36')
      ('rol.w', 'absS', 2, 2, 'CB3E')
      ('rol.w', 'zpSI', 2, 1, 'DB36')
      ('rol.w', 'absSI', 2, 2, 'DB3E')
      ('rol', 'zpSI', 3, 1, '8B9B36')
      ('rol', 'absSI', 3, 2, '8B9B3E')
lsr   ('lsr', 'ipp', 1, 1, '53')
      ('lsr', 'zp', 1, 1, '46')
      ('lsr', 'zpX', 1, 1, '56')
      ('lsr', 'a', 1, 0, '4A')
      ('lsr', 'abs', 1, 2, '4E')
      ('lsr', 'absX', 1, 2, '5E')
      ('lsr', 'ippI', 2, 1, '9B53')
      ('lsr', 'zpI', 2, 1, '9B46')
      ('lsr', 'zpXI', 2, 1, '9B56')
      ('lsr', 'absI', 2, 2, '9B4E')
      ('lsr', 'absXI', 2, 2, '9B5E')
