    ('lda.w', 'zpIY', 2, 1, 'ABB1')
    ('lda.w', 'zpIIY', 2, 1, 'BBB1')
    ('lda', 'zpSIY', 2, 1, '8BB1')
    ('lda.w', 'zpSIY', 2, 1, 'CBB1')
    ('lda.w', 'zpSIIY', 2, 1, 'DBB1')
    ('lda', 'zpSIIY', 3, 1, '8B9BB1')
    ('lda.x', 'zpIY', 2, 1, 'EBB1')
    ('lda.x', 'zpIIY', 3, 1, 'EB9BB1')
    ('lda.xw', 'zpIY', 3, 1, 'EBABB1')
    ('lda.xw', 'zpIIY', 3, 1, 'EBBBB1')
    ('lda.y', 'zpIA', 2, 1, 'FBB1')
    ('lda.y', 'zpIIA', 3, 1, 'FB9BB1')
    ('lda.yw', 'zpIA', 3, 1, 'FBABB1')
    ('lda.yw', 'zpIIA', 3, 1, 'FBBBB1')
    ('lda.y', 'zpSIA', 3, 1, 'FB8BB1')
    ('lda.yw', 'zpSIA', 3, 1, 'FBCBB1')
    ('lda.yw', 'zpSIIA', 3, 1, 'FBDBB1')
    ('lda.y', 'zpSIIA', 4, 1, 'FB8B9BB1')
C1  ('cmp', 'zpXI', 1, 1, 'C1')
    ('cmp', 'zpXII', 2, 1, '9BC1')
    ('cmp.w', 'zpXI', 2, 1, 'ABC1')
    ('cmp.w', 'zpXII', 2, 1, 'BBC1')
    ('cmp', 'zpSI', 2, 1, '8BC1')
    ('cmp.w', 'zpSI', 2, 1, 'CBC1')
    ('cmp.w', 'zpSII', 2, 1, 'DBC1')
    ('cmp', 'zpSII', 3, 1, '8B9BC1')
    ('cmp.x', 'zpAI', 2, 1, 'EBC1')
    ('cmp.x', 'zpAII', 3, 1, 'EB9BC1')
    ('cmp.xw', 'zpAI', 3, 1, 'EBABC1')
    ('cmp.xw', 'zpAII', 3, 1, 'EBBBC1')
    ('cmp.y', 'zpXI', 2, 1, 'FBC1')
    ('cmp.y', 'zpXII', 3, 1, 'FB9BC1')
    ('cmp.yw', 'zpXI', 3, 1, 'FBABC1')
    ('cmp.yw', 'zpXII', 3, 1, 'FBBBC1')
    ('cmp.y', 'zpSI', 3, 1, 'FB8BC1')
    ('cmp.yw', 'zpSI', 3, 1, 'FBCBC1')
    ('cmp.yw', 'zpSII', 3, 1, 'FBDBC1')
    ('cmp.y', 'zpSII', 4, 1, 'FB8B9BC1')
D1  ('cmp', 'zpIY', 1, 1, 'D1')
    ('cmp', 'zpIIY', 2, 1, '9BD1')
    ('cmp.w', 'zpIY', 2, 1, 'ABD1')
    ('cmp.w', 'zpIIY', 2, 1, 'BBD1')
    ('cmp', 'zpSIY', 2, 1, '8BD1')
    ('cmp.w', 'zpSIY', 2, 1, 'CBD1')
    ('cmp.w', 'zpSIIY', 2, 1, 'DBD1')
    ('cmp', 'zpSIIY', 3, 1, '8B9BD1')
    ('cmp.x', 'zpIY', 2, 1, 'EBD1')
    ('cmp.x', 'zpIIY', 3, 1, 'EB9BD1')
    ('cmp.xw', 'zpIY', 3, 1, 'EBABD1')
    ('cmp.xw', 'zpIIY', 3, 1, 'EBBBD1')
    ('cmp.y', 'zpIA', 2, 1, 'FBD1')
    ('cmp.y', 'zpIIA', 3, 1, 'FB9BD1')
    ('cmp.yw', 'zpIA', 3, 1, 'FBABD1')
    ('cmp.yw', 'zpIIA', 3, 1, 'FBBBD1')
    ('cmp.y', 'zpSIA', 3, 1, 'FB8BD1')
    ('cmp.yw', 'zpSIA', 3, 1, 'FBCBD1')
    ('cmp.yw', 'zpSIIA', 3, 1, 'FBDBD1')
    ('cmp.y', 'zpSIIA', 4, 1, 'FB8B9BD1')
E1  ('sbc', 'zpXI', 1, 1, 'E1')
    ('sbc', 'zpXII', 2, 1, '9BE1')
    ('sbc.w', 'zpXI', 2, 1, 'ABE1')
    ('sbc.w', 'zpXII', 2, 1, 'BBE1')
    ('sbc', 'zpSI', 2, 1, '8BE1')
    ('sbc.w', 'zpSI', 2, 1, 'CBE1')
    ('sbc.w', 'zpSII', 2, 1, 'DBE1')
    ('sbc', 'zpSII', 3, 1, '8B9BE1')
    ('sbc.x', 'zpAI', 2, 1, 'EBE1')
    ('sbc.x', 'zpAII', 3, 1, 'EB9BE1')
    ('sbc.xw', 'zpAI', 3, 1, 'EBABE1')
    ('sbc.xw', 'zpAII', 3, 1, 'EBBBE1')
    ('sbc.y', 'zpXI', 2, 1, 'FBE1')
    ('sbc.y', 'zpXII', 3, 1, 'FB9BE1')
    ('sbc.yw', 'zpXI', 3, 1, 'FBABE1')
    ('sbc.yw', 'zpXII', 3, 1, 'FBBBE1')
    ('sbc.y', 'zpSI', 3, 1, 'FB8BE1')
    ('sbc.yw', 'zpSI', 3, 1, 'FBCBE1')
    ('sbc.yw', 'zpSII', 3, 1, 'FBDBE1')
    ('sbc.y', 'zpSII', 4, 1, 'FB8B9BE1')
F1  ('sbc', 'zpIY', 1, 1, 'F1')
    ('sbc', 'zpIIY', 2, 1, '9BF1')
    ('sbc.w', 'zpIY', 2, 1, 'ABF1')
    ('sbc.w', 'zpIIY', 2, 1, 'BBF1')
    ('sbc', 'zpSIY', 2, 1, '8BF1')
    ('sbc.w', 'zpSIY', 2, 1, 'CBF1')
    ('sbc.w', 'zpSIIY', 2, 1, 'DBF1')
    ('sbc', 'zpSIIY', 3, 1, '8B9BF1')
    ('sbc.x', 'zpIY', 2, 1, 'EBF1')
    ('sbc.x', 'zpIIY', 3, 1, 'EB9BF1')
    ('sbc.xw', 'zpIY', 3, 1, 'EBABF1')
    ('sbc.xw', 'zpIIY', 3, 1, 'EBBBF1')
